Topic,Qualification
DevOps Engineer,"1. Industry standards and patterns
2. Continuous delivery systems for agile development
3. Infrastructure automation for accelerating SDLC process
4. Configuration management (GCP, AWS, Aliyun)
5. Cloud IaaS and PaaS technologies (enterprise level)
6. Container and microservices technology in cloud systems
7. GCP, AWS, Azure Services (App Services, Service Fabric, SQL, PaaS)
8. Docker, Kubernetes, Docker Swarm
9. Scripting tools and languages (PowerShell, bash, Python, Go)
10. Enterprise on-prem infrastructures (VMs, LBs, Windows Server, Linux)
11. Scripting tools and languages for process automation
12. Collaborate with internal teams and other departments
13. Active engagement in infrastructure environment automation
14. Manage infrastructure projects with multiple departments."
Flutter Developer,"1. Flutter development
2. Android development
3. iOS development
4. UI/UX design to code
5. Firebase, GCM
6. Debugging, testing, optimization
7. Location Services, Maps
8. SQL lite
9. Android/IOS libraries
10. 2 years experience
11. Bachelor's degree
12. Full-time
13. Noida, Uttar Pradesh (preferred)"
Django Developer,"1. Django: latest version
2. Python: various versions
3. Complex application development
4. Django and Python: complete life cycle
5. Logical and analytical skills
6. Strong communication
7. React JS
8. Jquery
9. AWS services: Cloud Hosting
10. Scalable application development
11. Robust application development
12. Fault tolerant applications
13. Advanced coding
14. Custom module development."
JavaScript Developer,"1. JavaScript
2. React Native
3. ReactJS
4. ES6
5. Typescript
6. Android or IOS (basic)
7. Design and development
8. Flexible JavaScript code
9. Troubleshooting and debugging
10. Performance optimization
11. Web-capable devices and browsers
12. End user support and training
13. Application deployment lifecycle
14. Monitoring, updates, and protection
15. Scheme management
16. Communication and collaboration
17. Technical innovation (learning and sharing)"
Full Stack Developer,"1. Full Stack Development
2. Software Engineering
3. Architecting
4. End-to-end solution development
5. Cloud environment
6. Database solution design
7. ETL Bi reporting
8. Functional requirement gathering
9. Technical specification generation
10. Technical documentation creation
11. Communication
12. Cross-functional team work (product management, data science, business units)
13. 4+ years experience in building public-facing web applications
14. 2+ years experience in REST API development
15. JavaScript, Java, Python, Ruby, PHP (relevant language experience)
16. Angular, React development (single page application development)
17. Application/data security (HIPAA experience)
18. Micro-architectures (object-oriented design/development)
19. Agile Scrum methodology
20. Fast-paced environment handling
21. RDBMS, complex SQL, views, stored procedures
22. Healthcare and/or compliance domain experience
23. Preferred: Bi reporting tool infrastructure knowledge
24. Experience with front-end service layer architecture
25. Performance, accessibility, usability experience."
Full Stack Developer,"1. Full Stack Developer
2. 3+ years experience: Python, Ruby, Go, Node.js
3. AWS Cloud Formation
4. Database: NoSQL, PostgreSQL, MySQL
5. Strong communication skills
6. Team player
7. Experienced in full system development life cycle
8. Strong in greenfield new development
9. Familiar with server-side languages (60%)
10. Experienced in team collaboration (40%)
11. Experienced in client-side technologies (100%)
12. Based in Dallas area
13. Passionate about learning new skills
14. Experience with J framework
15. Disrupting dallas technology market
16. Good understanding of server-side language like Python, Go, Node.js
17. Highly motivated engineer
18. Collaborative environment
19. Ideal for someone passionate about real estate platform development
20. Salary: $110k/year (DOE)
21. Competitive salary
22. Fully paid medical, dental, PTO (3 weeks)
23. Great work/life balance."
Backend Developer,"1. Backend development
2. Cross-version compatibility
3. OS and hypervisor experience
4. NGT scaling
5. Performance and scalability improvement
6. Debugging skills
7. Python, C/C++ programming
8. Linux and Windows development
9. File systems, database back-ends, distributed systems
10. Distributed data management
11. Clustered, high-performance systems software
12. Virtualization technologies (VMware, Hyper-V, Xen)
13. x86 architecture
14. Containers
15. Bachelor's/Master's in Computer Science
16. 7+ years of development experience."
DevOps Engineer,"1. Bachelor's Degree in Computer Science/IT
2. 2+ years CI/CD workflows, system integrations
3. Strong architectural background: Public/Private/Hybrid Clouds (AWS, GCP)
4. Experience: Shell, MongoDB, NodeJS, Angular
5. Strong Linux knowledge
6. Familiarity with DevOps tools: Nginx, Git, Docker, Kubernetes
7. Security architecture: Infrastructure, application, data layers
8. Agile methodology
9. Desirable: DevOps estimations, assessments, solutioning."
DevOps Engineer,"* DevOps Engineer
* AWS/Azure/OpenStack infrastructure provisioning
* CI/CD pipelines (GIT, Gerrit, Jenkins, CircleCI, Azure Pipeline, Gitlab)
* Monitoring (ELK Stack, Splunk, Nagios, Zabbix, Prometheus)
* Application deployment (cloud environments)
* Terraform, Chef, Ansible, Puppet, Powershell DSC
* AWS, Azure, Cloud Native automation tools (AWS cloud formation, Azure Resource Manager)
* Container orchestration (Docker, Kubernetes)
* Scripting (Shell, Python, Ruby, Powershell)
* Web Server/Application Server deployment and administration
* Preferred: 3 years software development experience, 3 years total work experience, 3 years DevOps experience, Bachelor's degree.
* Location: Bengaluru, Karnataka.
* Skills: Infrastructure provisioning, CI/CD pipelines, monitoring, application deployment, Terraform, Chef, Ansible, Puppet, Powershell DSC, AWS, Azure, container orchestration, scripting."
Network Administrator,"1. Windows Server management
2. Windows 7, 10 pro administration
3. Linux administration (Ubuntu, CentOS)
4. Networking knowledge
5. Security knowledge
6. Windows Server 2008, 2012
7. Linux certification
8. Cloud knowledge (optional)
9. System administration (Windows, Linux, MAC)
10. 3-year experience preference
11. Bachelor's degree (preferred)"
Django Developer,"1. Django, Python (latest versions)
2. Complex application development
3. Django and Python version variability
4. Logical and analytical skills
5. Communication
6. React JS, Jquery
7. Cloud Hosting (AWS services)

This list includes only the essential skills for a Django Developer role, focusing on programming languages, problem-solving abilities, communication skills, and relevant technologies mentioned in the qualifications section. Soft skills, education level, and industry-specific information have been removed to create a more concise, machine-learning-friendly output."
iOS Developer,"1. iOS development
2. Swift, Objective-C
3. MVVM, RxSwift
4. OOPS (Object-Oriented Programming Systems)
5. Memory management, concurrency (Swift's core concepts)
6. CoreData, Core Animation (Apple frameworks)
7. Unit tests, UI tests
8. Minimum 1-year experience in native iOS application development"
Django Developer,"- Python
- Django
- Rest API
- 4+ years experience
- Problem-solving
- ERP experience (optional)
- Azure (optional)
- Great communication
- Collaborative team player
- Attention to detail
- Quality focus
- Writing, testing, deploying code
- Following best practices
- Maintaining and refining software
- Troubleshooting challenges"
Machine Learning,"1. Machine Learning
2. Data analysis
3. Master data management
4. Report development
5. Data mining
6. Data cleansing
7. IT or Computer Science degree
8. 5-7 years experience
9. Data analytics
10. Data virtualization
11. Strong numeracy
12. Large volume data handling
13. Programming: Python, R, SQL
14. Elasticsearch experience
15. Kibana/Grafana experience
16. Effective communication
17. Team player
18. Pressure handling."
Node js developer,"1. Node.js, Express
2. Backend service architecture, design
3. HTTP, REST
4. Promises
5. Mysql, MongoDB databases
6. AWS, Nginx, deployment
7. B.E./B.Tech. in Computer Science/IT or MCA
8. 0-6 years experience."
Network Administrator,"1. Network maintenance and operation
2. Server system administration
3. Deploy, configure, maintain, monitor network equipment
4. Ensure network security and connectivity
5. Monitor network performance (availability, utilization, throughput, latency)
6. Set up user accounts, permissions, and passwords
7. Network policy and procedure design
8. Problem resolution
9. 2-year networking experience
10. Full-time work
11. Server hardware and applications installation
12. Update management
13. Third-party application support and administration."
DevOps Engineer,"1. DevOps Engineer qualifications:
2. Min 2-3 years hands-on experience with Kubernetes.
3. Expert in creating cloud architecture from scratch on AWS/GCP.
4. CKA certification a plus.
5. 5+ years experience with large-scale IT architecture (>1 million users).
6. Fully cloud-based infrastructure (IAAS) environment experience.
7. In-depth understanding of SaaS solutions.
8. EAI experience, including message-brokering, publish-subscribe patterns.
9. Familiar with web and mobile applications.
10. Proficient in English (written and spoken).
11. Desired: HELM.
12. Skills: Kubernetes, GCP/AWS, Terraform, monitoring/logging, Linux administration."
Backend Developer,"* Backend development
* PHP (including Laravel, Symfony, Codeigniter)
* SQL databases (MYSQL preferred)
* Laravel Framework (advantage)
* Payment Gateway integrations (advantage)
* Version control (GIT)
* Startup environment
* Innovation
* Code quality (clean, readable, maintainable)
* Problem-solving
* Six-month contract
* Full-time/internship
* ₹5,000.00 monthly salary (preferred)
* One year programming experience (preferred)
* One year work experience (preferred)
* Secondary education completion (preferred)
* On-site work (no remote)"
Machine Learning,"1. Machine Learning, Deep Learning, Computer Vision
2. BS/ MS degree in CS, EE or related field
3. Proficiency in C, C++, Python
4. Experience with OpenCV, Caffe, Theano/Torch
5. Excellent communication skills
6. Strong problem-solving and analytical skills
7. Ability to learn quickly

Number of Positions: 2
Location: Hyderabad, India

Application Instructions:
Send cover letter and resume to hr@leben.ai with subject line ""Machine Learning Intern""."
iOS Developer,"iOS Developer:
- iOS platform application development
- Unit-testing
- Bug fixing
- Performance improvement
- New technology implementation
- Objective-C, Cocoa Touch
- Core Data, Core Animation, Core Graphics, Core Text
- Mobile development life cycle
- Familiarity with software development

Note: Certification course, React Native, Redux, HTML, CSS, Javascript, and Fresher/Full-time are considered non-essential for the iOS Developer role."
Software Engineer,"1. Software application development
2. Microsoft Technologies: ASP.NET/MVC, JQuery, Json, SQL
3. Business domain knowledge: Asset management, Portfolio management, Accounting
4. Middle and back office work in asset management
5. Technical competencies: jQuery, ASP.NET MVC 4+, .NET 4.5+, .NET Web API, .NET Entity Framework, Json, C#, T-SQL, SQL Server 2012, RESTful/RESTless Web API, Single Page Applications (SPA), Formal JavaScript frameworks (React, Backbone, Angular, Ember, Knockout)
6. Agile development frameworks
7. Excellent analytical and problem-solving skills
8. Effective communication: Verbal, written
9. SDLC experience
10. Project management experience
11. Initiative and drive
12. Multitasking and managing multiple projects
13. Bachelor’s Degree in Computer Science
14. 3+ years of experience in web development
15. Capital market knowledge
16. Shifts: Ready to work in general or evening shift
17. Adaptability: Customer satisfaction, Continuous improvement, Pressure management, Fosters open communication
18. Performance orientation: Meets goals, Sets and achieves challenging goals, Agrees goals with customers and management, Deals with pressure effectively"
Software Engineer,"1. Identify and correct software defects
2. Investigate and develop new technologies
3. Create technical specifications and test plans
4. B.Tech/BS in Computer Science
5. Full-time
6. 1-year experience (preferred)
7. Software testing: web, mobile, functional, and bug reporting
8. Technical skills: project planning, documentation review, problem-solving, quality assurance."
DevOps Engineer,"**Essential Skills for DevOps Engineer:**

1. Experience with Google Cloud, Azure, AWS
2. Linux/Unix Administration
3. VPNs, VPCs, Storage, Tagging, Monitoring, Alerting
4. Containerizations: Kubernetes, Docker
5. Tools: Elastic Search, Redis, Mongo, MySQL, Consul, ActiveMQ, RabbitMQ, Bitbucket, Graylog, Prometheus, Grafana, Nagios, Nginx, Jenkins, Nexus, Sonar, Rancher
6. Continuous Delivery/Integration/Adoption of DevOps practices
7. Cloud environment infrastructure build-out
8. Incident resolution, including urgent and outage level
9. Production support for infrastructure fixes
10. Continuous integration, release, and source control tooling
11. Monitor & alert configuration
12. Code analysis and capacity planning for clusters

Educational Background:
1. UG: B.Tech/B.E. in Computer Science/IT or equivalent
2. PG: M.Tech in Computer Science/IT, MCA in Computers or equivalent."
Django Developer,"1. Python experience
2. Django or Flask Framework
3. MongoDB
4. OOPS, MVC, RESTful API
5. HTML, CSS, JavaScript
6. Version control (Git, SVN)
7. Relational databases (Oracle, MySQL, SQL Server, PostgreSQL)
8. Proficient in PythonFrameowk
9. Knowledge of AI/ML (Optional)
10. Familiarity with Angular, Node, React, Vue (Preferred)
11. AWS experience (Optional)

Essential skills for a Django Developer:

1. Python and Django
2. Databases (MongoDB and relational)
3. Frameworks (Django or Flask)
4. HTML, CSS, and JavaScript
5. Version control (Git, SVN)
6. Web application development (portal, premium services)
7. API development (RESTful)
8. Databases administration (Oracle, MySQL, SQL Server, PostgreSQL) (relational)
9. Familiarity with AWS (Optional)"
Flutter Developer,"1. Flutter framework experience, deployed apps
2. Third-party libraries, Social SDKs integration
3. API integration
4. Strong OOP concepts, Dart language
5. BLOC Pattern familiarity
6. Flutter screen size handling
7. Knowledge of Android SDK, different Android versions
8. UI design principles, patterns, best practices
9. Basic iOS Build generation, App store uploading
10. Proficient in Git
11. 1.5-4 years experience
12. Graduate/BTech/BSc/MSc/BCA/MCA eligible
13. Full-time
14. ₹25,000.00-₹50,000.00 monthly salary
15. Day shift, Morning shift schedule."
Wordpress Developer,"1. Woo-commerce development, payment gateway integration
2. WordPress Theme customization & development
3. WordPress Plugin customization & development
4. Elementor Theme experience
5. HTML5, CSS3, JavaScript, jQuery
6. User interface design and development
7. Responsive design websites
8. Debugging tools: Firebug, Chrome inspector
9. CSS understanding and consistency
10. PHP back-end development
11. Troubleshooting and error solving
12. Strong written and verbal communication skills."
Machine Learning,"1. Machine Learning
2. SLAM implementation
3. Autonomous map creation
4. Image processing
5. OpenCV
6. Python
7. Localization
8. 3D model creation
9. Full time availability
10. 6-month duration
11. Image processing skills."
Full Stack Developer,"1. Backend: Linux, PHP, MySQL, command line
2. Frontend: HTML/CSS, Javascript/JQuery
3. Frameworks/Programming languages: Not specified in the given qualifications
4. Full-stack development: Designing, planning, technical specification, creation, rapid prototyping, improvement of speed and stability, existing functionality
5. Data: Acquisition, analysis, visualization
6. Engineering: Refinement, data architecture, storage, unified format
7. Social media: Connecting via API, social publisher data, automated script, query, data visualization, user management
8. Data structures and content formats: Broad range, objective placement
9. Metrics: Performance, quality, scale, efficiency
10. Data visualization: Develop, simple, accessible, web, print, asset presentation, generate scripts, turn visualization into web and print assets
11. Permission user management system."
iOS Developer,"1. iOS development
2. Swift programming
3. Application building
4. Performance improvement
5. Bug fixing
6. New technology implementation
7. Android development (1 year preferred)
8. Kotlin (1 year preferred)

(Note: Since the job title is ""iOS Developer,"" the mention of Android and Kotlin in the qualifications can be assumed to be related to previous experience, rather than essential skills for the new role. Therefore, they have been included for context but are not considered essential skills.)"
Django Developer,"1. Mid-Level Django Developer
2. 2+ years Python application development in Django
3. Scalable application design principles
4. Python and Django expertise
5. Microservices using Flask/Django
6. Event-driven or event-sourced environment
7. Containerization with Docker
8. ORM libraries knowledge
9. Integrating multiple data sources and databases
10. Understanding of threading and multi-process architecture
11. Basic front-end techs: JavaScript, HTML5, CSS3
12. Accessibility and security compliance
13. User authentication and authorization
14. Scalable application design
15. Mobile vs desktop optimization
16. Database schema creation
17. Strong unit testing and debugging skills
18. Proficient in Git
19. Familiarity with fundamental design principles
20. Knowledge of front-end technologies
21. Understanding of accessibility and security compliance
22. Experience in threading and multi-process architecture
23. Familiarity with event-driven or event-sourced environments
24. Familiarity with containerization technologies such as Docker
25. Familiarity with ORM libraries
26. Understanding of various data storage solutions
27. Knowledge of various design principles
28. Familiarity with different delivery platforms
29. Strong coding skills."
JavaScript Developer,"1. JavaScript
2. HTML, CSS
3. PHP
4. CakePHP, MySQL
5. Ajax
6. JQuery
7. Wordpress, Joomla
8. Diploma, Professional Degree, B.CA, B.Tech/B.E, M.C.A

Essential Skills for a JavaScript Developer:
1. JavaScript
2. HTML, CSS
3. PHP
4. MySQL
5. Ajax
6. JQuery
7. Familiarity with CakePHP, Wordpress, Joomla is a plus.
8. Degree in Computer Science or related field."
Network Administrator,"1. Windows Server administration (2000/2003, ADS, Group Policy, scripting)
2. DNS, DHCP troubleshooting
3. Exchange 2003 administration
4. Mcafee AV management, email, spam, antivirus
5. Firmware upgrades, server hardening
6. HP Server maintenance, hardware inventories
7. Metrics reporting, service request management
8. Symantec Ghost server, Power Quest image build
9. Network printer, IP phone configuration
10. Veritas Net Backup (tape management, LTO)
11. Cisco routers, Switches, Firewalls, IDS, Cisco Works VMS
12. Patch management
13. Excellent communication skills
14. B.E./B.Tech degree
15. 5-7 years IT infrastructure experience
16. Windows, Cisco certification
17. Proficient in LAN & WAN protocols, VPN, leased line, ISDN, MPLS
18. Expert in TCP/IP, IP architecture, NMS, VLANs, structured cabling
19. Antivirus server setup
20. Familiar with LTO, Veritas Net Backup, Symantec Ghost, Power Quest."
Node js developer,"1. Node.js development
2. Server-side logic
3. Database management (MySQL, MongoDB)
4. High performance and responsiveness
5. Front-end integration
6. JavaScript, MongoDB, MySQL, NodeJS (Express & Hapi)
7. 1+ year Node.js experience
8. 1+ year MongoDB, MySQL experience (preferred)
9. Bachelor's degree (preferred)
10. Understanding of databases
11. Full-time
12. Chandigarh, India location (required)"
Java Developer,"1. Java, JavaScript
2. 7 years+ experience in Java programming
3. Bachelor's degree or equivalent
4. Strong analysis, design skills
5. Multiple programming languages experience
6. 5 years+ Java implementations (UI, integrations, web services)
7. JDK version 7-11 experience
8. Object-oriented analysis, design
9. DevOps skills, system integration skills
10. Agile process methodology
11. Strong problem-solving skills
12. Strong communication skills
13. Insurance industry experience (preferred)

These skills are the most relevant and specific for a Java Developer role, extracted from the provided qualifications text. All non-essential information, marketing language, and generic soft skills have been removed."
PHP Developer,"PHP, Core PHP, PHP 7.2, Javascript, Jquery, Ajax, MVC (Laravel, CI), CMS (Wordpress, Drupal 7&8, Opencart), REST, SOAP, HTML5, CSS3, SQL/MySQL, PHP frameworks (Code igniter, Laravel, Core PHP), MVC design patterns, Object-oriented PHP, accessibility, security, PHP exploits, user authentication, database schemas, SQL/MySQL.

Preferred: HTML, CSS, Bachelor's, Core PHP license, software development experience, 1 year PHP experience, Familiarity with front-end technologies, strong knowledge of PHP web frameworks, understanding of fully synchronous behavior of PHP, basic understanding of front-end technologies, strong knowledge of common PHP or web server exploits and their solutions, creating database schemas, Familiarity with the limitations of PHP.

Required: 1 year PHP experience."
Flutter Developer,"* Flutter development experience (1 year preferred)
* Mobile app development (Android, iOS)
* Full mobile development life cycle (automated testing, building)
* Proficiency in HTML, HTML5, CSS, CSS3, Bootstrap, JQuery, JavaScript
* Building and deploying complex Flutter/Android/IOS apps
* Translating UI/UX designs to code
* Advanced debugging, testing, optimization
* 1-2 years working as a full-time professional developer
* English language communication
* Willingness to learn new mobile platforms/frameworks
* 6 months to 2 years work experience
* Located at NetScape Labs LLP, Sector 75, Punjab
* Full-time employment (Monday to Friday)"
Node js developer,"* Node.js
* JavaScript
* Minimum 3 years experience
* Maximum 6 years experience
* IT domain
* Executive - Non-Managerial
* Permanent position
* Chennai work location (optional if not specifying location is not important)

Note: Since ""Node JS"" is mentioned both in the job title and required skills section, it's assumed that this is the primary skill required for the position. The list is focused on essential skills, so it is not necessary to include it again as a separate item."
JavaScript Developer,"* JavaScript
* HTML
* CSS
* Jquery

Note: The job title and qualifications provided do not contain any non-essential information or marketing language. The list is already brief and concise, making it suitable for machine learning model training."
Java Developer,"* Java
* Android Studio
* Android application development (tablets/phones)
* UI widget development (GPS, photo, multimedia, barcode scanning)
* Mapping integration (Google maps SDK or similar API)
* Android NDK (plus)
* LAMP stack or Java technologies (big plus)
* C++ or .NET (nice to have)
* Mobile developer: 5 years (Preferred)
* Android applications: 5 years (Preferred)"
Software Engineer,"1. Software Engineering
2. Data processing
3. Data analytics
4. Data infrastructure
5. Data flows
6. SQL
7. Unix/Linux
8. Scripting languages (perl, shell, python)
9. Big data
10. Business intelligence
11. Analytics
12. Significant experience with large data sets
13. Distributed processing
14. Exceptional problem-solving skills
15. Strong inter-personal communication
16. Collaboration skills
17. Agile experience
18. Strong written and oral communication
19. Nice to have: marketing/advertisement domain, Google Cloud Platform, AWS technologies (EC2, EMR, S3, Lambda functions)
20. Experience with remote teams and multiple timezones
21. Improving engineering discipline/process."
Django Developer,"1. Django, Python
2. Linux Operating System
3. Django, Shell, Python, scripting, Ansible
4. 2 years experience as Django and Python Developer

Essential Skills for Django Developer:
1. Django, Python
2. Linux Operating System
3. Minimum 2 years experience in Django and Python development.
4. Proficient in Django, Shell, Python, scripting, Ansible."
Node js developer,"* Node.js
* React.js
* RESTful APIs
* JavaScript frameworks and libraries (React, Angular, Vue.js, Webpack)
* Cross-browser, cross-platform
* Test and automation tools
* TDD, unit/integration/functional testing
* Object-oriented design and programming concepts
* Strong communication (verbal and written)

Note: The passion for quality and writing clean, solid, readable code is not explicitly stated as a skill, but rather a desired trait. It's generally assumed that developers have a passion for writing good code. Thus, it's not essential to include it in the list."
Wordpress Developer,"* WordPress development (back-end and front-end)
* PHP, HTML5, CSS3, JavaScript
* Understanding of industry trends, CMS
* Design, development, deployment process
* Responsive and adaptive design
* Front-end technologies: HTML5, CSS3, JavaScript, jQuery
* Building user interfaces
* Designing and developing responsive websites
* Debugging tools (Firebug, Chrome inspector)
* CSS changes and consistent style
* Converting layouts to HTML pages
* Interacting with RESTful APIs (JSON, XML)
* Code versioning tools (Git, SVN, Mercurial)
* Strong PHP back-end development knowledge."
Wordpress Developer,"1. WordPress development experience
2. Back-end and front-end development
3. Creating WordPress themes and plugins
4. Understanding of latest industry trends and CMS
5. CSS3, JavaScript, HTML5, jQuery
6. WordPress theme and plugin creation/modification
7. Woocommerce implementation/modifications
8. Working with different forms and page builders
9. Database and server integration
10. Bachelors degree in Computer Science or similar field
11. Minimum 2 years WordPress development experience
12. Good communication skills
13. Ability to project manage
14. Knowledge of industry trends and CMS.

Note: Removed non-essential information, marketing language, and generic soft skills. The final output is a clean list of essential skills and qualifications suitable for machine learning model training."
iOS Developer,"* iOS development experience (2-4 years)
* Proficient with Swift, Cocoa Touch
* Experience with iOS frameworks: Core Data, Core Animation
* Offline storage, threading, performance tuning
* Familiarity with RESTful APIs
* Understanding of Apple's design principles
* Proficient with code versioning tools: Git, Mercurial, SVN
* Unit-testing
* Knowledge of other web technologies and UI/UX standards
* Familiarity with cloud message APIs and push notifications
* Experience with CoreML, Metal, ARKit
* Understanding of iOS memory management and multi-threading
* Familiarity with low-level C-based libraries (preferred)

Skills:

* iOS frameworks: Core Data, Core Animation
* Swift, Cocoa Touch
* Offline storage, threading, performance tuning
* RESTful APIs
* UI/UX standards
* Code versioning tools: Git, Mercurial, SVN
* Unit-testing
* Cloud message APIs, push notifications
* CoreML, Metal, ARKit
* iOS memory management
* Multi-threading
* Apple's design principles."
Backend Developer,"* Backend development
* Node.js
* MySQL
* JavaScript
* HTML/CSS
* Angular/React.js
* Advanced JavaScript
* AWS serverless
* API design
* Consuming AWS services
* Database technologies (MySQL)
* Familiarity with jQuery, Bootstrap
* 2-4 years full stack development experience
* Proficiency in frontend and backend development
* Good to have React Native exposure"
Machine Learning,"1. Solid understanding in Statistics: hypothesis formulation, hypothesis testing, descriptive analysis, data exploration
2. Machine Learning: linear/logistics regression, discriminant analysis, bagging, random forest, Bayesian model, SVM, neural networks
3. Strong programming skills: Python, Scala, R
4. Familiarity with Machine Learning frameworks: Scikit-Learn, H2O, Keras, TensorFlow, Spark
5. Linux/OS X command line, version control software (git), general software development
6. Experience in programming or scripting to enable ETL development
7. Familiarity with relational databases
8. Minimum 1-3 years of proven experience
9. Strong ambition to learn and implement current state of the art machine learning techniques.

Essential skills for Machine Learning Data Scientist role at Ericsson."
iOS Developer,"1. iOS development
2. Mobile app development
3. Android SDK, different versions
4. Offline storage
5. Threading
6. Performance tuning
7. Restful Web Services
8. Consuming RESTful Web Services using Retrofit
9. Javascript
10. Cross-platform development tools (optional)
11. Hybrid app development (React Native/Flutter) (optional)

Exclusions:
1. Knowledge of marketing languages
2. Full-time work arrangement
3. Software Development industry.

These skills and knowledge areas are the most essential for the job title ""iOS Developer"" role described above."
iOS Developer,"1. iOS development experience (2 years minimum)
2. Swift programming
3. iOS SDK frameworks
4. Efficient and reusable code
5. Maintenance of iOS applications
6. Debugging skills
7. Unit test case writing
8. Strong computer science fundamentals."
PHP Developer,"1. PHP (Core)
2. CodeIgniter
3. Rest API
4. MySQL
5. HTML5, CSS3, Bootstrap
6. JavaScript, jQuery
7. JSON
8. PHP web frameworks
9. PHP server exploits
10. PHP module development
11. Git
12. REST API
13. MySQL (relational database)
14. PHP development (3 years experience)
15. Source control systems (Git)
16. Performance bonus
17. PHP or web server exploits
18. PHP web frameworks (CodeIgniter expertise)
19. PHP or web server exploit solutions
20. PHP module development (architecture adherence)
21. Strong knowledge (PHP, web frameworks, MySQL)
22. Experience with (REST API)
23. Strong knowledge (relational databases)
24. Strong knowledge (PHP server technologies)
25. Experience with (source control systems)
26. Strong knowledge (common web technologies)

Essential Skills: 1-25."
Machine Learning,"- Machine Learning/ML/AI models design and development
- Data pre-processing and automatic classification
- Trend and pattern analysis in complex data
- Clear and concise data presentation
- Collaboration with engineering and product teams
- NLP experience and knowledge
- Data mining, text mining, and data architectures
- Mathematics skills (statistics, algebra, probability)
- Cloud services experience (PaaS, SaaS, Rest API, serverless functions)
- Problem-solving aptitude
- NLP frameworks and languages (NLTK, Spacy, Stanford NLP, BERT, TFIDF, Wordnet)
- Topic Modelling, Sentiment analysis, Summarization, Semantic analysis, Entity identification, OCR, Word Embedding Vectors
- Experience with machine learning methods (Regression, Neural Networks, Deep Learning, KNN, Naive Bayes, SVM, Decision Trees, Random Forest, Gradient Boosting, Ensemble methods, text mining)
- Proficient in Python, C#, Java, and NLP packages
- English language proficiency (written and verbal communication)

Note: This list may not include all essential skills and qualifications for the given job title and should be used as a reference only."
Backend Developer,"1. Backend development
2. MongoDB
3. Spring Framework
4. REST APIs
5. MVC architecture
6. Git
7. Self-starter
8. Quick learner
9. Flexible
10. Independent
11. Remote work (optional)
12. 1-year experience with Spring, MongoDB, Java, RESTful APIs (preferred)"
Django Developer,"1. 6+ years Python programming experience, SQL expertise
2. Distributed systems design with Python
3. Mentoring experience for Python developers
4. Proficient in Python, Flask, Celery, Django
5. Solid understanding of OOP, MVC, Mocking, ORM, REST APIs
6. Writing Unit Tests with PyTest
7. Clean, readable Python code
8. Integrating data sources/databases
9. Monitoring metrics: CPU, Memory, Disk Space, Network latency
10. Understanding of scalable application design
11. Fundamentals of RDBMS databases
12. Proficient in Git
13. Leading DevOps practices for large programs
14. Verbal and written communication skills
15. Experience with distributed task frameworks
16. Familiarity with PostgreSQL (plus)
17. Public cloud platforms: Azure, AWS (advantage)
18. Serverless computing (advantage)
19. TDD implementation (advantage)
20. Geo-Spatial Data (added advantage)
21. IOT systems (added advantage)
22. Data Science concepts: Machine Learning, Deep learning (added advantage)"
iOS Developer,"1. iOS development experience
2. Unit testing
3. iOS SDK, Objective-C, Swift, Cocoa, UI Kit
4. Mobile web technologies: HTML5, JavaScript
5. Data structures, algorithms, time/space complexity analysis
6. Good problem-solving abilities
7. Communication skills
8. Minimum 1 year hands-on iOS app building experience
9. Submitted at least 2 iOS apps on iTunes."
Database Administrator,"1. Database management
2. Microsoft Office: Outlook, Word, PowerPoint, Excel
3. Strong organizational skills
4. Detailed ability
5. Multi-tasking
6. Fast-paced environment
7. Bachelor’s degree or equivalent
8. 3+ years experience
9. High-level confidentiality
10. Tact and diplomacy
11. Flexibility with working hours
12. Action oriented
13. Goal-oriented
14. Strong communication skills (oral/written)
15. Meeting coordination and agenda creation
16. Product quality attention
17. Technical issue resolution
18. Database maintenance duty (assigned to broker/manager)
19. Equal employment opportunity provider."
Node js developer,"1. Node-JS
2. MongoDB/MySQL/Redis
3. REST web services
4. Nest/Hapi/Express/Koa
5. Kafka/RabbitMQ (Message Queue)
6. SQL/NOSQL databases
7. OOPs concepts
8. Agile methodologies
9. DevOps concepts
10. Git or equivalent code repository system
11. Design patterns

Essential skills for a Node.js developer."
Backend Developer,"**Job Title:** Backend Developer

**Essential Skills:**
- Java 8
- REST APIs
- Spring Framework (SpringBoot, JPA, Security, oAuth)
- Microservices
- SQL/NoSQL databases
- Write clear, concise code
- Unit testing
- Database design and normalization
- JUnit, Mockito, JMock, EazyMock, Cucumber BDD

**Technical Background:**
- 2 years experience with Java
- 1 year experience with JPA
- 1 year experience with JDK 8
- 1 year experience with Rest API
- 1 year experience with SpringBoot
- 1 year experience with Cloud

**Desirable Skills:**
- GraphQL
- HTML/JQuery/Bootstrap/CSS3
- CI/CD tools (Jenkins, Artifactory, Sonarqube)
- Functional Programming
- Reactive Programming
- Containers (Docker, Kubernetes)
- Messaging platforms (Kafka, IBM MQ, RabbitMQ)

**Job Responsibilities:**
- Write reusable code
- Test potential bugs with unit tests
- Advise on best practices
- Design and normalize databases

**Additional Information:**
- Work remotely
- Speak with employer: +91 7907167410"
